Nama Warna;Kode Warna;Mood;Tema;Suasana;Kontras;Popularitas;Gaya Desain
Merah;#FF0000;Bahagia;Modern;Cerah;Tinggi;Populer;Minimalis
Biru;#0000FF;Tenang;Vintage;Dingin;Rendah;Sedang;Klasik
Hijau;#008000;Segar;Alam;Sejuk;Sedang;Populer;Bohemian
Kuning;#FFFF00;Enerjik;Ceria;Hangat;Tinggi;Sedang;Kontemporer
Hitam;#000000;Serius;Elegan;Gelap;Tinggi;Populer;Modern
Putih;#FFFFFF;Bersih;Minimal;Tenang;Rendah;Sedang;Minimalis
Abu-abu;#808080;Netral;Vintage;Dingin;Sedang;Sedang;Klasik
Coklat;#A52A2A;Hangat;Alam;Sejuk;Sedang;Sedang;Tradisional
Ungu;#800080;Kreatif;Glamour;Malam;Tinggi;Populer;Kontemporer
Merah Muda;#FFC0CB;Ceria;Retro;Hangat;Sedang;Sedang;Bohemian
Biru Muda;#ADD8E6;Tenang;Minimalis;Sejuk;Sedang;Sedang;Modern
Oranye;#FFA500;Enerjik;Ceria;Hangat;Sedang;Sedang;Kontemporer
Hijau Tua;#006400;Segar;Alam;Dingin;Tinggi;Sedang;Bohemian
Merah Tua;#8B0000;Bahagia;Vintage;Cerah;Tinggi;Populer;Klasik
Kuning Muda;#FFFFE0;Enerjik;Ceria;Hangat;Sedang;Populer;Kontemporer
Biru Laut;#20B2AA;Tenang;Modern;Dingin;Sedang;Populer;Minimalis
Coklat Muda;#D2B48C;Hangat;Alam;Sejuk;Rendah;Sedang;Tradisional
Abu-abu Tua;#A9A9A9;Netral;Vintage;Dingin;Tinggi;Sedang;Klasik
Merah Tua;#800000;Bahagia;Ceria;Hangat;Sedang;Populer;Bohemian
Putih Muda;#F5F5F5;Bersih;Minimal;Tenang;Tinggi;Sedang;Minimalis
Hijau Lime;#32CD32;Segar;Alam;Sejuk;Sedang;Sedang;Kontemporer
Kuning Emas;#FFD700;Enerjik;Glamour;Cerah;Tinggi;Populer;Kontemporer
Biru Tua;#00008B;Tenang;Vintage;Dingin;Rendah;Sedang;Klasik
Merah Jambu;#FF1493;Ceria;Retro;Hangat;Sedang;Sedang;Bohemian
Hitam Klasik;#000000;Serius;Elegan;Gelap;Tinggi;Populer;Modern
Merah Anggur;#8B0000;Bahagia;Modern;Cerah;Tinggi;Sedang;Minimalis
Coklat Tua;#3E2A47;Hangat;Alam;Dingin;Sedang;Sedang;Tradisional
